open,close,low,high
1.07705,1.07697,1.07689,1.077055
1.07698,1.077175,1.076895,1.0772
1.077185,1.07719,1.07705,1.07724
1.07718,1.077235,1.077155,1.077315
1.077235,1.07719,1.077175,1.077285
1.077185,1.0772,1.077105,1.07727
1.077205,1.077225,1.077145,1.07728
1.07722,1.077205,1.07712,1.07729
1.07721,1.07742,1.077205,1.077515
1.07743,1.077645,1.0774,1.077655
1.07764,1.07761,1.077515,1.077715
1.077615,1.077485,1.077485,1.077655
1.07748,1.0776,1.077455,1.07767
1.077605,1.07764,1.07754,1.077655
1.077655,1.077815,1.077645,1.07792
1.07781,1.077835,1.077805,1.07792
1.07783,1.077865,1.07783,1.077925
1.07786,1.077855,1.077745,1.07788
1.07785,1.077905,1.077755,1.07791
1.07791,1.077755,1.077715,1.07797
1.07775,1.077725,1.07767,1.077765
1.07772,1.077795,1.0777,1.07783
1.0778,1.077605,1.07755,1.07781
1.07761,1.077805,1.077595,1.077815
1.0778,1.0775,1.07748,1.077805
1.0775,1.07744,1.0774,1.077545
1.077445,1.077355,1.077305,1.077445
1.07735,1.077495,1.077285,1.077535
1.077495,1.0774,1.07734,1.077505
1.077405,1.077345,1.077305,1.077405
1.077345,1.07745,1.077315,1.07747
1.07745,1.07737,1.07736,1.07751
1.077365,1.07744,1.07736,1.077525
1.077445,1.077355,1.0773,1.07747
1.077355,1.0773,1.077195,1.077355
1.077305,1.07714,1.07714,1.077325
1.07714,1.077135,1.07712,1.077225
1.07713,1.0769,1.0769,1.077145
1.076895,1.076865,1.07674,1.0769
1.07685,1.077115,1.076805,1.07712
1.077115,1.07707,1.077015,1.077145
1.077075,1.077175,1.07703,1.077205
1.07718,1.07711,1.076995,1.07718
1.07711,1.07716,1.077075,1.07716
1.077165,1.07721,1.077145,1.077235
1.077215,1.077285,1.07721,1.0773
1.07729,1.077365,1.077155,1.07738
1.07736,1.077295,1.077285,1.07753
1.07729,1.077505,1.07728,1.077525
1.077505,1.0773,1.077215,1.077505
1.07731,1.07732,1.07723,1.077355
1.077325,1.077465,1.077325,1.077465
1.077465,1.077375,1.077345,1.077465
1.07738,1.07733,1.0773,1.077455
1.07732,1.077235,1.07722,1.07736
1.07724,1.07727,1.077175,1.07732
1.077275,1.07755,1.07727,1.07757
1.077555,1.077545,1.07751,1.07762
1.07754,1.077505,1.077455,1.077545
1.077505,1.07743,1.077315,1.077515
1.07743,1.07741,1.07741,1.07749
1.077415,1.07763,1.07741,1.07763
1.077635,1.077795,1.07759,1.07781
1.0778,1.077795,1.07773,1.077875
1.07779,1.077515,1.0775,1.07779
1.077515,1.077335,1.077305,1.07764
1.07734,1.077315,1.07718,1.077345
1.07731,1.07732,1.07728,1.077415
1.07732,1.077535,1.07732,1.07758
1.07754,1.07752,1.077475,1.07757
1.077515,1.077495,1.07741,1.077565
1.0775,1.077475,1.077445,1.07762
1.07747,1.077615,1.07744,1.077625
1.077615,1.077725,1.07759,1.07773
1.07773,1.077785,1.077705,1.0778
1.07779,1.077775,1.07772,1.07782
1.07777,1.077755,1.07775,1.07787
1.077755,1.077515,1.07746,1.07777
1.07751,1.07756,1.07749,1.0776
1.077555,1.07748,1.077435,1.07758
1.077485,1.07745,1.07738,1.077515
1.07745,1.077415,1.07739,1.07751
1.07741,1.07764,1.07741,1.077665
1.077635,1.077685,1.077615,1.077725
1.07769,1.07768,1.07766,1.07773
1.077675,1.07742,1.07738,1.077685
1.077425,1.077375,1.077265,1.077465
1.07737,1.07742,1.07733,1.07746
1.077425,1.0773,1.077285,1.077465
1.077295,1.07716,1.077145,1.0773
1.077165,1.07703,1.07703,1.07717
1.077035,1.07687,1.07687,1.077045
1.07688,1.07696,1.076865,1.07703
1.076955,1.07696,1.07691,1.077055
1.076955,1.0766,1.076575,1.076955
1.0766,1.07665,1.076445,1.076785
1.076655,1.076695,1.076575,1.076765
1.076695,1.076755,1.07669,1.07684
1.07676,1.07678,1.07666,1.076815
1.07678,1.07691,1.076775,1.076915
1.076915,1.077075,1.076915,1.07711
1.07707,1.07715,1.077045,1.077195
1.07715,1.0771,1.0771,1.07716
1.0771,1.076975,1.076845,1.077155
1.07698,1.07699,1.07683,1.077005
1.077,1.077,1.07697,1.0771
1.077005,1.07695,1.076875,1.07702
1.076945,1.076915,1.0769,1.076975
1.07692,1.077005,1.07692,1.07701
1.077005,1.076965,1.076935,1.077015
1.07697,1.076885,1.07688,1.07697
1.076885,1.076825,1.07681,1.076945
1.07682,1.0769,1.076815,1.07693
1.076895,1.076945,1.076835,1.076955
1.07694,1.07689,1.07688,1.077025
1.076895,1.077095,1.07688,1.0771
1.077095,1.07695,1.07692,1.0771
1.07696,1.076965,1.07685,1.07698
1.076965,1.077055,1.076895,1.07707
1.07705,1.07696,1.07688,1.07707
1.07696,1.077015,1.07693,1.077025
1.07702,1.07712,1.07699,1.07716
1.077125,1.077145,1.07705,1.07719
1.07714,1.076945,1.076865,1.077145
1.07694,1.076845,1.0768,1.076945
1.076845,1.07686,1.07682,1.076905
1.076855,1.07701,1.076855,1.07701
1.07701,1.077115,1.077,1.07715
1.07712,1.077205,1.07711,1.07724
1.077205,1.077115,1.077115,1.077245
1.07711,1.07703,1.07701,1.077135
1.077035,1.07696,1.076825,1.07704
1.076955,1.07707,1.076905,1.077075
1.077065,1.07714,1.077045,1.07716
1.077135,1.077195,1.07713,1.07723
1.0772,1.0772,1.077195,1.07726
1.077205,1.07715,1.07707,1.077205
1.077145,1.07712,1.07711,1.077155
1.07713,1.07718,1.07711,1.07719
1.077185,1.07723,1.077135,1.077255
1.077225,1.07736,1.077125,1.07736
1.07736,1.077345,1.077325,1.077425
1.077345,1.077275,1.07727,1.07737
1.077285,1.0773,1.077175,1.077355
1.077295,1.0771,1.07708,1.077375
1.0771,1.0771,1.07697,1.07718
1.077115,1.077275,1.0771,1.077325
1.07727,1.0774,1.077255,1.077405
1.0774,1.07748,1.077395,1.07748
1.077475,1.077365,1.07736,1.0775
1.07737,1.07736,1.07733,1.07742
1.07736,1.07719,1.077185,1.077365
1.077185,1.07723,1.07714,1.07733
1.077235,1.077155,1.07706,1.077265
1.077145,1.076995,1.076985,1.077145
1.077,1.076935,1.07692,1.077035
1.076935,1.0767,1.076675,1.076935
1.076695,1.076645,1.07663,1.07673
1.07665,1.0767,1.076645,1.07672
1.076705,1.076655,1.076625,1.07674
1.076655,1.07657,1.07655,1.076675
1.076575,1.076735,1.076575,1.07676
1.07674,1.07668,1.076675,1.07685
1.07668,1.076655,1.07661,1.07669
1.07666,1.076875,1.07666,1.07697
1.076875,1.076845,1.076835,1.076935
1.07685,1.07705,1.07685,1.07723
1.077045,1.07716,1.07699,1.077205
1.077155,1.077255,1.077155,1.07728
1.07725,1.07721,1.07711,1.07732
1.077215,1.077245,1.07713,1.077275
1.077245,1.07721,1.07719,1.07726
1.077205,1.077125,1.07709,1.077215
1.07712,1.076985,1.07696,1.077205
1.07698,1.07721,1.07691,1.07721
1.07721,1.07717,1.0771,1.07726
1.077175,1.07719,1.07708,1.077215
1.077185,1.07737,1.077145,1.0774
1.07737,1.077255,1.07722,1.077405
1.077255,1.077295,1.0772,1.07731
1.07729,1.077255,1.077195,1.077305
1.07725,1.076985,1.076985,1.077255
1.076985,1.077095,1.07662,1.077345
1.07709,1.077655,1.077085,1.07767
1.07766,1.077615,1.07761,1.07791
1.07762,1.077645,1.0775,1.077705
1.07765,1.077835,1.077605,1.077845
1.07783,1.078055,1.07781,1.07807
1.07806,1.07803,1.07792,1.07813
1.078025,1.0777,1.07769,1.078075
1.077695,1.07794,1.07761,1.07794
1.077945,1.077875,1.077835,1.078055
1.07787,1.0775,1.077495,1.077915
1.077505,1.077675,1.07749,1.077805
1.07768,1.07764,1.07747,1.077715
1.077635,1.07773,1.077515,1.07781
1.077725,1.078055,1.077725,1.078085
1.07806,1.078175,1.07803,1.078255
1.07817,1.07815,1.078075,1.07825
1.07815,1.07809,1.078,1.07819
1.078095,1.078215,1.07802,1.078335
1.07821,1.07829,1.078185,1.078335
1.078295,1.07831,1.07826,1.07843
1.078315,1.07846,1.078255,1.07846
1.078455,1.078785,1.07837,1.07881
1.07879,1.07892,1.07876,1.0791
1.078915,1.07885,1.07882,1.07895
1.078845,1.07841,1.078315,1.07887
1.078415,1.07893,1.078415,1.07893
1.078925,1.07906,1.07887,1.0792
1.079055,1.07876,1.078645,1.079055
1.078755,1.07891,1.078665,1.078915
1.078905,1.07868,1.07857,1.078905
1.078685,1.078615,1.07859,1.07873
1.07861,1.078565,1.07854,1.078715
1.07855,1.07852,1.07849,1.078735
1.078515,1.078675,1.078475,1.078815
1.07868,1.07851,1.07849,1.078705
1.07852,1.07863,1.07849,1.07866
1.07862,1.078595,1.07859,1.078935
1.0786,1.08025,1.0786,1.08044
1.08025,1.0797,1.07961,1.080375
1.079695,1.079255,1.07925,1.07971
1.07926,1.07968,1.079025,1.079715
1.079685,1.07939,1.07929,1.079705
1.079395,1.07899,1.07878,1.079395
1.078995,1.079335,1.078965,1.07946
1.079325,1.07933,1.079025,1.07952
1.07933,1.079445,1.07933,1.079495
1.07944,1.07949,1.07941,1.0797
1.079495,1.07979,1.079455,1.07981
1.07979,1.080445,1.07979,1.080445
1.08045,1.080615,1.08045,1.08092
1.08061,1.08052,1.080495,1.080745
1.08052,1.08087,1.080505,1.080885
1.080865,1.080715,1.080715,1.081
1.08072,1.080815,1.080655,1.080955
1.08082,1.08085,1.0808,1.081015
1.080855,1.080535,1.080535,1.080935
1.08054,1.08062,1.08037,1.08063
1.080625,1.0804,1.08037,1.080645
1.0804,1.08042,1.080395,1.080585
1.080415,1.080375,1.08021,1.080555
1.08037,1.08068,1.08035,1.08076
1.080685,1.08056,1.080385,1.080685
1.080555,1.08072,1.080545,1.08085
1.080715,1.08051,1.08044,1.08073
1.080515,1.08025,1.0802,1.080535
1.080245,1.080475,1.08001,1.080485
1.08046,1.0805,1.080345,1.0806
1.08048,1.080335,1.080305,1.08048
1.08034,1.080395,1.080315,1.080605
1.08039,1.08019,1.080075,1.080455
1.080185,1.08013,1.0801,1.0803
1.080135,1.08033,1.080135,1.08044
1.080335,1.080185,1.0801,1.08036
1.08018,1.080325,1.080135,1.08055
1.08033,1.08024,1.08022,1.080445
1.080245,1.080155,1.080095,1.080265
1.080155,1.08015,1.080135,1.080315
1.080145,1.080185,1.08014,1.08026
1.08019,1.080325,1.08018,1.080395
1.08033,1.08065,1.080325,1.08077
1.080655,1.08097,1.080595,1.08098
1.080965,1.081345,1.08084,1.081395
1.08134,1.08128,1.08127,1.0817
1.081285,1.08151,1.081265,1.081635
1.081505,1.0813,1.081265,1.081515
1.081295,1.081205,1.08116,1.08142
1.08121,1.08111,1.08106,1.081245
1.081115,1.081,1.080915,1.081135
1.080995,1.08109,1.08099,1.08124
1.0811,1.081095,1.08095,1.08117
1.0811,1.081605,1.081095,1.08163
1.0816,1.081805,1.08145,1.081955
1.0818,1.081925,1.08169,1.08193
1.08192,1.081805,1.0817,1.08193
1.0818,1.081965,1.081785,1.08207
1.08195,1.081595,1.081585,1.082
1.08159,1.08176,1.0815,1.08177
1.08176,1.08202,1.081755,1.082065
1.08202,1.082055,1.08191,1.082135
1.08206,1.08201,1.08191,1.08214
1.082015,1.08196,1.08179,1.082015
1.081955,1.081555,1.08138,1.08199
1.08155,1.0817,1.08154,1.081785
1.081695,1.081595,1.08148,1.081715
1.08159,1.0815,1.0814,1.08168
1.081505,1.081805,1.0815,1.08181
1.0818,1.08216,1.081775,1.082165
1.082165,1.08234,1.082055,1.082345
1.08234,1.08248,1.08234,1.08253
1.082485,1.082775,1.082465,1.08293
1.08278,1.08293,1.08271,1.083085
1.082935,1.08277,1.082765,1.083135
1.082765,1.082635,1.08249,1.082845
1.08263,1.08276,1.08261,1.08291
1.082755,1.08287,1.08274,1.08303
1.082865,1.08291,1.082835,1.08297
1.082905,1.08286,1.08277,1.082915
1.082855,1.08295,1.08278,1.08297
1.082945,1.082765,1.082745,1.082995
1.08276,1.082815,1.08265,1.082825
1.082815,1.08275,1.08266,1.082825
1.082755,1.08275,1.082705,1.083015
1.082745,1.082455,1.08242,1.08275
1.08245,1.08305,1.08239,1.08308
1.083055,1.083005,1.082975,1.08315
1.083,1.082645,1.082565,1.08301
1.08264,1.082235,1.082175,1.08264
1.08224,1.08214,1.08212,1.08225
1.082135,1.08236,1.082125,1.08241
1.082355,1.08246,1.082355,1.082675
1.082455,1.082365,1.082315,1.08248
1.08236,1.08241,1.082345,1.08252
1.08241,1.0824,1.0824,1.08257
1.082405,1.082415,1.08232,1.082545
1.08242,1.08267,1.082345,1.0827
1.082665,1.082835,1.082635,1.08284
1.08284,1.082635,1.082615,1.08295
1.082625,1.082675,1.08253,1.082725
1.08267,1.082715,1.082635,1.08276
1.08271,1.082515,1.082455,1.082715
1.08251,1.08236,1.08228,1.082515
1.082365,1.08246,1.082295,1.082495
1.082455,1.08225,1.082245,1.082495
1.082255,1.08199,1.08197,1.082275
1.081995,1.08199,1.0819,1.08205
1.081995,1.082255,1.081995,1.082335
1.08226,1.08231,1.08218,1.08236
1.082305,1.082255,1.08221,1.08232
1.08226,1.0823,1.08217,1.08241
1.082305,1.082365,1.0823,1.08258
1.08237,1.08251,1.082325,1.08258
1.082515,1.08286,1.082505,1.08287
1.082865,1.08307,1.082865,1.08308
1.083075,1.083155,1.083075,1.083365
1.083155,1.083095,1.083095,1.08325
1.08309,1.08316,1.082915,1.08321
1.083155,1.083275,1.083055,1.0833
1.083265,1.083115,1.083035,1.08337
1.08311,1.0833,1.083105,1.083375
1.083305,1.08339,1.08313,1.08358
1.083385,1.0835,1.083325,1.083605
1.083505,1.08342,1.08336,1.083615
1.083415,1.083395,1.083305,1.083465
1.0834,1.083355,1.08331,1.08358
1.08335,1.083245,1.08317,1.083365
1.08325,1.08341,1.08325,1.08352
1.083415,1.08357,1.08338,1.08357
1.083565,1.083495,1.083355,1.083585
1.08349,1.08355,1.083425,1.08359
1.08355,1.0837,1.08355,1.08379
1.083695,1.083695,1.08367,1.083855
1.0837,1.08378,1.083595,1.083795
1.083785,1.084075,1.083785,1.084085
1.08408,1.084235,1.08395,1.08427
1.08424,1.0841,1.084045,1.084355
1.084105,1.084015,1.08397,1.084115
1.084005,1.08405,1.0839,1.084055
1.084045,1.08413,1.084025,1.08419
1.08414,1.08409,1.08398,1.084215
1.08408,1.084325,1.084045,1.08443
1.084315,1.084465,1.08426,1.084465
1.084465,1.084355,1.08428,1.08447
1.08436,1.084315,1.084255,1.08442
1.084315,1.08432,1.084295,1.08442
1.084315,1.084395,1.084175,1.084425
1.084395,1.084105,1.084005,1.08447
1.08411,1.08422,1.084095,1.084285
1.08422,1.0841,1.084065,1.08431
1.0841,1.08392,1.08391,1.084135
1.083915,1.08372,1.083655,1.083945
1.083725,1.08369,1.083645,1.08379
1.083695,1.083545,1.083545,1.083885
1.08354,1.08341,1.08339,1.08359
1.08341,1.083385,1.08327,1.083475
1.08339,1.083255,1.083115,1.08339
1.08325,1.083195,1.083145,1.083425
1.08319,1.08307,1.083065,1.0832
1.083075,1.083025,1.082945,1.0831
1.08302,1.082785,1.082765,1.08305
1.08279,1.08276,1.082755,1.08289
1.082755,1.082475,1.082465,1.08282
1.08247,1.082425,1.082375,1.08253
1.08242,1.08247,1.082395,1.082505
1.082475,1.082125,1.08207,1.082475
1.08212,1.08199,1.08192,1.082135
1.081995,1.082095,1.081995,1.08229
1.0821,1.082225,1.08208,1.08232
1.08223,1.082255,1.08218,1.082345
