open,close,low,high,volume
160.6575,160.6435,160.5745,160.7105,3109
160.643,160.613,160.553,160.667,3927
160.6135,160.581,160.531,160.616,3601
160.5805,160.6065,160.535,160.6495,3471
160.61,160.5695,160.561,160.642,3457
160.5705,160.5305,160.5005,160.6335,3670
160.529,160.4515,160.4505,160.5565,3283
160.4505,160.541,160.4265,160.546,2782
160.542,160.568,160.5415,160.653,3029
160.567,160.598,160.5635,160.6215,2883
160.5975,160.6365,160.5795,160.689,2591
160.637,160.5475,160.477,160.645,2747
160.5465,160.5185,160.5125,160.64,2556
160.519,160.468,160.4315,160.5285,3047
160.4675,160.4775,160.397,160.5085,2912
160.4785,160.3655,160.353,160.531,2917
160.365,160.22,160.219,160.3835,3751
160.221,160.1395,160.132,160.264,3567
160.14,160.1915,160.111,160.199,2842
160.191,160.2035,160.17,160.293,2726
160.2025,160.261,160.202,160.3105,2463
160.2605,160.2585,160.213,160.3335,2934
160.259,160.243,160.2035,160.297,2259
160.2435,160.1775,160.1565,160.261,2833
160.1765,160.1485,160.0685,160.19,3040
160.148,160.0195,159.9905,160.1905,2931
160.0185,159.9855,159.954,160.0455,2693
159.9865,159.939,159.937,160.0235,2893
159.9385,159.935,159.843,159.973,2652
159.9345,159.977,159.928,160.0305,2316
159.9775,159.974,159.9505,160.0415,2087
159.9745,159.966,159.913,159.9975,2888
159.9655,160.0675,159.964,160.081,2696
160.063,160.0875,160.0575,160.1785,3725
160.087,160.29,160.078,160.2965,3359
160.2905,160.3625,160.2685,160.371,2804
160.363,160.352,160.289,160.408,2430
160.3515,160.2835,160.2545,160.352,2880
160.284,160.3185,160.2635,160.354,2995
160.318,160.25,160.237,160.3385,2484
160.2495,160.218,160.1925,160.2665,2535
160.2165,160.1515,160.1515,160.258,2378
160.151,160.165,160.1265,160.269,3593
160.1645,160.131,160.1185,160.279,3473
160.132,159.8835,159.87,160.1505,3187
159.8825,159.6345,159.6315,159.9045,3420
159.6355,159.8365,159.584,159.846,3292
159.836,160.002,159.8135,160.0235,2560
160.0015,160.1045,159.945,160.1655,2581
160.104,159.983,159.929,160.1625,3326
159.9835,160.1385,159.9805,160.159,2661
160.137,160.164,160.1275,160.2075,2858
160.162,160.228,160.131,160.251,2713
160.224,160.14,160.096,160.2605,2694
160.1455,160.1365,160.0305,160.1575,2618
160.135,160.187,160.117,160.21,2584
160.1865,160.2325,160.144,160.2445,2478
160.232,160.1805,160.154,160.2455,2549
160.18,160.1085,160.081,160.225,2575
160.109,159.9705,159.944,160.1345,2618
159.971,160.0545,159.97,160.0975,2604
160.055,159.9325,159.9215,160.0755,2520
159.933,159.9275,159.8545,159.949,3630
159.928,160.007,159.824,160.0145,3356
160.006,160.125,159.995,160.166,3512
160.124,160.1465,160.061,160.2185,3659
160.1475,160.296,160.0885,160.304,3148
160.297,160.336,160.258,160.3505,2870
160.3345,160.37,160.277,160.3975,3203
160.3705,160.487,160.3435,160.5385,3113
160.486,160.705,160.4645,160.7055,3505
160.7055,160.6425,160.589,160.719,4054
160.643,160.6795,160.5965,160.7005,4217
160.679,160.542,160.5375,160.719,3781
160.543,160.6235,160.5155,160.635,3149
160.624,160.548,160.527,160.6575,3397
160.5485,160.6085,160.535,160.637,3422
160.6095,160.3655,160.3575,160.6105,3740
160.3685,160.367,160.3505,160.415,4021
160.3655,160.4725,160.3485,160.501,3369
160.475,160.466,160.4015,160.513,3058
160.467,160.567,160.4475,160.582,2905
160.5675,160.543,160.5065,160.635,3103
160.5435,160.573,160.5245,160.587,3402
160.5735,160.6215,160.5475,160.6225,2789
160.621,160.77,160.6125,160.7815,3139
160.771,160.769,160.7435,160.8595,2827
160.77,160.7655,160.6745,160.811,2997
160.765,160.7785,160.7105,160.8125,3306
160.778,160.813,160.728,160.8155,2630
160.812,160.802,160.748,160.8215,2813
160.8015,160.829,160.743,160.863,2718
160.8295,160.816,160.7555,160.857,2553
160.8155,160.6295,160.6255,160.8155,3282
160.63,160.73,160.597,160.7555,3243
160.729,160.637,160.637,160.729,2442
160.6375,160.6445,160.5895,160.709,3040
160.645,160.588,160.565,160.6765,2577
160.5885,160.6295,160.5615,160.697,2431
160.629,160.5895,160.5655,160.6515,2379
160.589,160.624,160.579,160.688,2539
160.6255,160.6775,160.6255,160.7135,2306
160.676,160.553,160.543,160.708,2110
160.555,160.6995,160.507,160.73,2741
160.6985,160.667,160.6315,160.738,2518
160.6675,160.5245,160.5,160.6695,2801
160.5235,160.4815,160.4745,160.553,2868
160.479,160.514,160.471,160.5445,2193
160.515,160.558,160.501,160.6305,2297
160.559,160.716,160.503,160.757,3134
160.7155,160.7105,160.673,160.7525,2412
160.71,160.7065,160.656,160.798,2294
160.707,160.7105,160.6665,160.771,2590
160.709,160.726,160.645,160.743,2773
160.7245,160.7325,160.692,160.789,2775
160.7305,160.7955,160.721,160.853,2452
160.796,160.8895,160.7575,160.9215,2413
160.89,160.8455,160.8445,160.9505,2562
160.845,160.8725,160.819,160.9285,2179
160.872,160.906,160.8565,160.939,1626
160.9065,160.891,160.8295,160.9145,1335
160.8915,160.894,160.884,160.965,2283
160.895,160.856,160.8145,160.9325,3615
160.8475,160.7395,160.734,161.0325,6125
160.74,160.7755,160.645,160.849,6169
160.7745,160.6925,160.659,160.8515,3540
160.6935,160.997,160.6925,161.0395,3425
160.9985,160.9205,160.8395,161.028,3394
160.92,160.871,160.8485,161.0195,3529
160.8725,160.612,160.6025,160.8845,3445
160.6135,160.4595,160.3935,160.6325,4521
160.459,160.539,160.373,160.5395,4072
160.5395,160.428,160.409,160.553,3269
160.426,160.489,160.4185,160.527,3234
